"BMY",65.59,"4/4/2016","10:49am",+0.68,65.01,65.68,64.77,975022
"BRK-B",143.27,"4/4/2016","10:49am",-0.52,143.99,143.99,143.23,673976
"BSX",19.165,"4/4/2016","10:49am",+0.225,18.950,19.200,18.930,2453600
"BWA",35.7601,"4/4/2016","10:48am",-1.9199,37.5500,37.6700,35.5100,945895
"BXLT",41.57,"4/4/2016","10:49am",+0.75,41.05,41.65,40.96,1765140
"BXP",127.345,"4/4/2016","10:48am",+0.055,127.260,127.820,126.990,47842
"C",42.505,"4/4/2016","10:49am",+0.035,42.360,42.700,42.070,4541312
"CA",30.95,"4/4/2016","10:49am",-0.04,31.05,31.10,30.86,275897
"CAG",44.93,"4/4/2016","10:49am",-0.83,45.30,45.45,44.74,827716
"CAH",82.79,"4/4/2016","10:49am",+0.63,82.29,83.27,82.29,366267
"CAM",66.01,"4/1/2016","8:00pm",+0.00,66.01,N/A,N/A,0
"CAT",76.65,"4/4/2016","10:49am",-0.14,76.56,77.04,76.21,997425
"CB",121.26,"4/4/2016","10:49am",+0.41,123.00,123.14,120.84,716753
"CBG",29.33,"4/4/2016","10:48am",+0.22,29.15,29.61,29.02,393780
"CBS",55.24,"4/4/2016","10:48am",+0.07,55.30,55.65,55.05,427314
"CCE",51.93,"4/4/2016","10:49am",+0.45,51.59,52.06,51.51,473957
"CCI",87.39,"4/4/2016","10:49am",+0.28,87.35,87.48,87.00,265844
"CCL",52.795,"4/4/2016","10:49am",+0.045,52.800,52.940,52.525,733887
"CELG",101.63,"4/4/2016","10:49am",+0.44,101.90,102.39,101.07,1303548
"CERN",54.45,"4/4/2016","10:49am",+0.37,54.14,54.86,54.04,533840
"CF",32.12,"4/4/2016","10:48am",-0.01,31.89,32.32,31.52,410673
"CFG",21.43,"4/4/2016","10:48am",+0.08,21.30,21.51,21.11,972593
"CHD",92.41,"4/4/2016","10:48am",-1.29,93.88,93.88,92.39,133182
"CHK",3.85,"4/4/2016","10:49am",+0.02,3.86,3.90,3.68,9256192
"CHRW",74.5105,"4/4/2016","10:48am",+0.8605,73.7200,74.5700,73.3900,207675
"CI",137.25,"4/4/2016","10:48am",+0.09,137.00,137.39,136.37,702505
"CINF",65.605,"4/4/2016","10:46am",-0.355,66.010,66.010,65.600,48535
"CL",70.89,"4/4/2016","10:49am",-0.31,70.87,71.27,70.59,599052
"CLX",126.73,"4/4/2016","10:49am",-0.65,127.49,128.15,126.61,178120
"CMA",39.00,"4/4/2016","10:49am",+1.32,37.98,39.31,37.82,1506355
"CMCSA",61.21,"4/4/2016","10:49am",-0.66,61.51,61.81,61.21,2121377
"CME",96.41,"4/4/2016","10:48am",-0.54,96.87,96.87,95.66,166865
"CMG",472.06,"4/4/2016","10:48am",+7.25,466.49,473.17,463.01,196695
"CMI",110.42,"4/4/2016","10:48am",+0.30,110.11,110.71,109.04,245725
"CMS",42.31,"4/4/2016","10:49am",-0.40,42.75,42.87,42.16,373076
"CNC",61.50,"4/4/2016","10:49am",-0.29,62.25,62.38,61.34,414140
"CNP",20.99,"4/4/2016","10:48am",-0.21,21.18,21.19,20.91,650453
"COF",70.31,"4/4/2016","10:49am",-0.49,70.59,70.89,70.06,338732
"COG",23.11,"4/4/2016","10:49am",+0.60,22.61,23.34,22.50,1855743
"COH",40.75,"4/4/2016","10:49am",+0.23,40.62,40.89,40.30,552096
"COL",92.73,"4/4/2016","10:47am",-0.06,92.57,93.19,92.11,62094
"COP",40.19,"4/4/2016","10:49am",+0.41,39.79,40.34,39.20,2340868
"COST",157.05,"4/4/2016","10:49am",-1.20,158.68,158.99,157.02,276461
"CPB",64.56,"4/4/2016","10:49am",-0.60,65.15,65.35,64.09,373389
